Listing ID,Título,Fabricante,Modelo,Capacidad,Grado,Unidades,Precio Total,Precio/Unidad,Día,Fecha,Pujas,URL
6a1f3278498701c16ab5e734,"Apple Cell Phones - iPhone 14 Pro Max, 128GB - Grade B+(T) - CT0100005A",Apple,iPhone 14 Pro Max,128GB,B+(T),126,55319,439.04,JUEVES,2026-06-17,22,https://bstock.com/buy/listings/details/6a1f3278498701c16ab5e734
6a1f322a498701c16ab5db4b,Apple Cell Phones - iPhone 16e - Grade AA+(T) - CT0100267A,Apple,iPhone 16e,MIXTO:128GB/256GB,AA+(T),24,7781,324.21,JUEVES,2026-06-17,18,https://bstock.com/buy/listings/details/6a1f322a498701c16ab5db4b
6a1f322f8cc9cd5a272c62cf,"Apple Cell Phones - iPhone 15 Pro Max, 256GB - Grade B+(T) - CT0100346A",Apple,iPhone 15 Pro Max,256GB,B+(T),275,154000,560.0,JUEVES,2026-06-17,41,https://bstock.com/buy/listings/details/6a1f322f8cc9cd5a272c62cf
6a1f322c74cd6714ed8bce8d,Apple Cell Phones - iPhone 14 Plus - Grade B+(T) - CT0100129A,Apple,iPhone 14 Plus,MIXTO:128GB/256GB/512GB,B+(T),60,16051,267.52,JUEVES,2026-06-17,11,https://bstock.com/buy/listings/details/6a1f322c74cd6714ed8bce8d
6a1f32858aa8f5b2e7e6cc52,Apple Cell Phones - iPhone 16 Pro Max - Grade B+(T) - CT0100362A,Apple,iPhone 16 Pro Max,MIXTO:256GB/512GB/1TB,B+(T),175,128500,734.29,JUEVES,2026-06-17,29,https://bstock.com/buy/listings/details/6a1f32858aa8f5b2e7e6cc52
6a1f326174cd6714ed8bd71d,Apple Cell Phones - iPhone 16 Plus - Grade A+(T) - CT0100159A,Apple,iPhone 16 Plus,MIXTO:128GB/256GB/512GB,A+(T),47,24900,529.79,JUEVES,2026-06-17,23,https://bstock.com/buy/listings/details/6a1f326174cd6714ed8bd71d
6a1f324d74cd6714ed8bd3ae,"Apple Cell Phones - iPhone 15 Plus, 256GB - Grade B+(T) - CT0100057A",Apple,iPhone 15 Plus,256GB,B+(T),50,19250,385.0,JUEVES,2026-06-17,45,https://bstock.com/buy/listings/details/6a1f324d74cd6714ed8bd3ae
6a1f326c498701c16ab5e547,"Apple Cell Phones - iPhone 15 Pro, 256GB - Grade B+(T) - CT0100009A",Apple,iPhone 15 Pro,256GB,B+(T),121,59340,490.41,JUEVES,2026-06-17,22,https://bstock.com/buy/listings/details/6a1f326c498701c16ab5e547
6a1f3290498701c16ab5e9cd,"Apple Cell Phones - iPhone 16 Plus, 128GB - Grade B+(T) - CT0099996A",Apple,iPhone 16 Plus,128GB,B+(T),152,76486,503.2,JUEVES,2026-06-17,21,https://bstock.com/buy/listings/details/6a1f3290498701c16ab5e9cd
6a1f32894c11af0831b9e6ed,Apple Cell Phones - iPhone 16 Pro Max - Grade B+(T) - CT0100061A,Apple,iPhone 16 Pro Max,MIXTO:256GB/512GB/1TB,B+(T),201,146500,728.86,JUEVES,2026-06-17,13,https://bstock.com/buy/listings/details/6a1f32894c11af0831b9e6ed
6a1f32988aa8f5b2e7e6cdf6,Apple Cell Phones - iPhone 14 Pro - Grade A+(T) - CT0100182A,Apple,iPhone 14 Pro,MIXTO:128GB/256GB/1TB/512GB,A+(T),41,15950,389.02,JUEVES,2026-06-17,16,https://bstock.com/buy/listings/details/6a1f32988aa8f5b2e7e6cdf6
6a1f32a074cd6714ed8bddee,Apple Cell Phones - iPhone 16 Pro Max - Grade B+(T) - CT0100367A,Apple,iPhone 16 Pro Max,MIXTO:256GB/512GB/1TB,B+(T),175,130000,742.86,JUEVES,2026-06-17,22,https://bstock.com/buy/listings/details/6a1f32a074cd6714ed8bddee
6a1f32a38aa8f5b2e7e6cee0,Apple Cell Phones - iPhone 16 - Grade A+(T) - CT0100238A,Apple,iPhone 16,MIXTO:128GB/256GB/512GB,A+(T),28,14340,512.14,JUEVES,2026-06-17,9,https://bstock.com/buy/listings/details/6a1f32a38aa8f5b2e7e6cee0
6a1f32a374cd6714ed8bde43,"Apple Cell Phones - iPhone 15 Pro Max, 256GB - Grade B+(T) - CT0100348A",Apple,iPhone 15 Pro Max,256GB,B+(T),275,151111,549.49,JUEVES,2026-06-17,24,https://bstock.com/buy/listings/details/6a1f32a374cd6714ed8bde43
6a1f329f498701c16ab5eb00,"Apple Cell Phones - iPhone 15 Pro Max, 256GB - Grade B+(T) - CT0100345A",Apple,iPhone 15 Pro Max,256GB,B+(T),275,151100,549.45,JUEVES,2026-06-17,32,https://bstock.com/buy/listings/details/6a1f329f498701c16ab5eb00
6a1f32a6498701c16ab5eb88,Apple Cell Phones - iPhone 16 Pro Max - Grade B+(T) - CT0100366A,Apple,iPhone 16 Pro Max,MIXTO:256GB/512GB/1TB,B+(T),175,128277,733.01,JUEVES,2026-06-17,33,https://bstock.com/buy/listings/details/6a1f32a6498701c16ab5eb88
6a1f32ac06c31d7daf0a07ce,"Apple Cell Phones - iPhone 15 Pro Max, 256GB - Grade B+(T) - CT0099974A",Apple,iPhone 15 Pro Max,256GB,B+(T),261,145500,557.47,JUEVES,2026-06-17,15,https://bstock.com/buy/listings/details/6a1f32ac06c31d7daf0a07ce
6a1f32b18cc9cd5a272c66ae,Apple Cell Phones - iPhone 16 Pro Max - Grade B+(T) - CT0100389A,Apple,iPhone 16 Pro Max,MIXTO:256GB/1TB/512GB,B+(T),75,55111,734.81,JUEVES,2026-06-17,26,https://bstock.com/buy/listings/details/6a1f32b18cc9cd5a272c66ae
6a1f32b28aa8f5b2e7e6d00e,Apple Cell Phones - iPhone 16 Pro Max - Grade B+(T) - CT0100363A,Apple,iPhone 16 Pro Max,MIXTO:256GB/512GB/1TB,B+(T),175,130000,742.86,JUEVES,2026-06-17,25,https://bstock.com/buy/listings/details/6a1f32b28aa8f5b2e7e6d00e
6a1f32c2498701c16ab5edac,Apple Cell Phones - iPhone 16e - Grade A+(T) - CT0100167A,Apple,iPhone 16e,MIXTO:128GB/256GB,A+(T),44,15650,355.68,JUEVES,2026-06-17,30,https://bstock.com/buy/listings/details/6a1f32c2498701c16ab5edac
6a1f32c3498701c16ab5edce,Apple Cell Phones - iPhone 16 Pro Max - Grade A+(T) - CT0100100A,Apple,iPhone 16 Pro Max,MIXTO:256GB/1TB/512GB,A+(T),92,70500,766.3,JUEVES,2026-06-17,25,https://bstock.com/buy/listings/details/6a1f32c3498701c16ab5edce
6a1f32bc3d9349dff8b82715,"Apple Cell Phones - iPhone 16, 128GB - Grade A+(T) - CT0100001A",Apple,iPhone 16,128GB,A+(T),137,70500,514.6,JUEVES,2026-06-17,25,https://bstock.com/buy/listings/details/6a1f32bc3d9349dff8b82715
6a1f32b9498701c16ab5ed03,Apple Cell Phones - iPhone 16 Pro Max - Grade B+(T) - CT0100361A,Apple,iPhone 16 Pro Max,MIXTO:256GB/512GB/1TB,B+(T),175,128388,733.65,JUEVES,2026-06-17,26,https://bstock.com/buy/listings/details/6a1f32b9498701c16ab5ed03
